,TITLE,TITLE,LABEL
8476,Uptick seen as COVID-19 positivity plateaus,Uptick seen as COVID-19 positivity plateaus,REAL
10294,Philippines corrects course to meet global seafarer training standards,Philippines corrects course to meet global seafarer training standards,REAL
3608,Holiday economics not good for workers,Holiday economics not good for workers,REAL
10142,NIA employees’ group says no role in Antiporda case,NIA employees’ group says no role in Antiporda case,REAL
875,Philippines seeks redefinition of climate finance for developing countries,Philippines seeks redefinition of climate finance for developing countries,REAL
6903,"Villar, Tulfo in heated exchange over land conversion","Villar, Tulfo in heated exchange over land conversion",REAL
7341,Raps filed vs 33 traders over agricultural smuggling,Raps filed vs 33 traders over agricultural smuggling,REAL
95,HCWs protest low budget of public hospitals,HCWs protest low budget of public hospitals,REAL
4869,Gatchalian seeks more funding to put up SPED centers in regions,Gatchalian seeks more funding to put up SPED centers in regions,REAL
2909,"North Korea fires ICBM, lands near Japan","North Korea fires ICBM, lands near Japan",REAL
1357,"P100,000 worth of illegal drugs seized from six suspects nabbed in Mabalacat buy-bust","P100,000 worth of illegal drugs seized from six suspects nabbed in Mabalacat buy-bust",REAL
988,BJMP assures safety of Vhong Navarro at Taguig City Jail,BJMP assures safety of Vhong Navarro at Taguig City Jail,REAL
7041,Marcos says PH will seek Saudi Arabia’s aid in oil crisis,Marcos says PH will seek Saudi Arabia’s aid in oil crisis,REAL
7623,Duterte says she was not ‘blind to the never-ending list of problems’ of PH education,Duterte says she was not ‘blind to the never-ending list of problems’ of PH education,REAL
1571,Procopio Lipana appointed MMDA GM; other appointees take oath,Procopio Lipana appointed MMDA GM; other appointees take oath,REAL
4739,DICT wraps up digital literacy training for PWDs in Pampanga,DICT wraps up digital literacy training for PWDs in Pampanga,REAL
7737,DepED to develop a national Mathematics program,DepED to develop a national Mathematics program,REAL
8716,Gift from the prince! OFWs’ P30-B backwages to be paid by Saudi Arabia,Gift from the prince! OFWs’ P30-B backwages to be paid by Saudi Arabia,REAL
3304,"Marcos calls on APEC leaders: Shipping, logistics sectors need attention","Marcos calls on APEC leaders: Shipping, logistics sectors need attention",REAL
3078,‘Nakakalungkot’: House panel mulls probe on long queues of returning OFWs at airports,‘Nakakalungkot’: House panel mulls probe on long queues of returning OFWs at airports,REAL
2517,DOJ Secretary Remulla not stepping down based on Bantag’s claim of ‘lost credibility’,DOJ Secretary Remulla not stepping down based on Bantag’s claim of ‘lost credibility’,REAL
10348,Over 15k Covid-19 vaccines administered by PH Red Cross in Marawi,Over 15k Covid-19 vaccines administered by PH Red Cross in Marawi,REAL
778,Salceda lauds PH economic recovery after S&P assessment; ‘Hindi ito tsamba’,Salceda lauds PH economic recovery after S&P assessment; ‘Hindi ito tsamba’,REAL
3300,Korean embassy prohibits cancellation of visa appointments,Korean embassy prohibits cancellation of visa appointments,REAL
6155,BI intercepts 3 human trafficking victims using fake NAIA workers IDs,BI intercepts 3 human trafficking victims using fake NAIA workers IDs,REAL
636,Navy inaugurates support facility for Jose Rizal-class frigates,Navy inaugurates support facility for Jose Rizal-class frigates,REAL
755,‘Agenda ni Juana’: PCW launches Women’s Priority Legislative Agenda,‘Agenda ni Juana’: PCW launches Women’s Priority Legislative Agenda,REAL
626,Remulla on NBP excavation: ‘Bantag was looking for Yamashita treasure’,Remulla on NBP excavation: ‘Bantag was looking for Yamashita treasure’,REAL
691,Senate ends debates on P5.268-T national budget for 2023,Senate ends debates on P5.268-T national budget for 2023,REAL
5743,Marcos urges APEC leaders to adopt green post-pandemic recovery,Marcos urges APEC leaders to adopt green post-pandemic recovery,REAL
1787,Army headquarters in Fort Bonifacio hit by fire,Army headquarters in Fort Bonifacio hit by fire,REAL
7808,Marcos to global leaders: Act on climate change,Marcos to global leaders: Act on climate change,REAL
6484,"Marcos, Xi support early conclusion of South China Sea code of conduct","Marcos, Xi support early conclusion of South China Sea code of conduct",REAL
7385,PRC sets F2F oathtaking schedules for new physicians,PRC sets F2F oathtaking schedules for new physicians,REAL
9016,DSWD extends over P400-M worth of relief aid to severe tropical storm Paeng victims,DSWD extends over P400-M worth of relief aid to severe tropical storm Paeng victims,REAL
9324,Customs NAIA has seized 24.4 kilos of assorted pieces of gold jewelry estimated worth P80 million,Customs NAIA has seized 24.4 kilos of assorted pieces of gold jewelry estimated worth P80 million,REAL
8983,"Marcos says help underway for landslides, flash floods victims in Davao region","Marcos says help underway for landslides, flash floods victims in Davao region",REAL
8965,Arroyo gives Marcos advice on meeting with Xi Jinping,Arroyo gives Marcos advice on meeting with Xi Jinping,REAL
5580,DICT activates add’l free Wi-Fi sites in Nueva Ecija,DICT activates add’l free Wi-Fi sites in Nueva Ecija,REAL
9757,DepED commends 10 ‘Batang Matibay’ 2022 awardees ,DepED commends 10 ‘Batang Matibay’ 2022 awardees ,REAL
1967,PH calls for inclusion of developing countries’ needs in climate finance,PH calls for inclusion of developing countries’ needs in climate finance,REAL
431,"Over 654,000 ‘drug dependents’ graduate from PNP’s rehab program","Over 654,000 ‘drug dependents’ graduate from PNP’s rehab program",REAL
5955,"BOC: 33 importers, 11 customs brokers charged for agricultural smuggling ","BOC: 33 importers, 11 customs brokers charged for agricultural smuggling ",REAL
7455,Marcos tells APEC leaders: Make big changes,Marcos tells APEC leaders: Make big changes,REAL
5224,PH to gain new investments from Thailand’s CP Group,PH to gain new investments from Thailand’s CP Group,REAL
7793,"DOTr budget cuts could derail ongoing railway projects, lawmaker warns","DOTr budget cuts could derail ongoing railway projects, lawmaker warns",REAL
2777,House members out to honor these 2 young athlete-achievers,House members out to honor these 2 young athlete-achievers,REAL
587,DPWH to help in bamboo industry development in Bulacan,DPWH to help in bamboo industry development in Bulacan,REAL
9403,"DPWH urged to speed up construction of classrooms, school buildings nationwide","DPWH urged to speed up construction of classrooms, school buildings nationwide",REAL
5931,Retired Army officer slain in ambush,Retired Army officer slain in ambush,REAL
3027,100 more buses for 24-hour Edsa carousel service,100 more buses for 24-hour Edsa carousel service,REAL
4377,5 dead in Navotas fire,5 dead in Navotas fire,REAL
5937,AFP aids MILF members slain in Basilan clash,AFP aids MILF members slain in Basilan clash,REAL
7277,BI looking for rescued Chinese man,BI looking for rescued Chinese man,REAL
5521,PRA blocking green projects,PRA blocking green projects,REAL
3627,6 fishermen nabbed for dynamite fishing,6 fishermen nabbed for dynamite fishing,REAL
9360,"Ex-PMMA cadet, cop dead in Caloocan shootout
","Ex-PMMA cadet, cop dead in Caloocan shootout
",REAL
909,"Woman held for P680,000 shabu in Caloocan","Woman held for P680,000 shabu in Caloocan",REAL
6646,Baguio tourist spot closed over violations,Baguio tourist spot closed over violations,REAL
